Name,City,State,Zip,Type Detailed*,Current Guaranteed Minimum,Average Daily Population,Current as of**
RIVER CORRECTIONAL CENTER,FERRIDAY,LA,71334,DIGSA,361,552,01/21/2025
ROBERT A DEYTON DETENTION FACILITY,LOVEJOY,GA,30250,USMS CDF,,3,01/21/2025
SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE),SAIPAN,MP,96950,USMS IGA,,3,01/21/2025
SALT LAKE COUNTY METRO JAIL,SALT LAKE CITY,UT,84119,USMS IGA,,6,01/21/2025
SAN LUIS REGIONAL DETENTION CENTER,SAN LUIS,AZ,85349,IGSA,100,50,01/21/2025
SENECA COUNTY JAIL,TIFFIN,OH,44883,IGSA,,61,01/21/2025
SHERBURNE COUNTY JAIL,ELK RIVER,MN,55330,IGSA,,3,01/21/2025
SOUTH CENTRAL REGIONAL JAIL,CHARLESTON,WV,25309,IGSA,,2,01/21/2025
SOUTH LOUISIANA ICE PROCESSING CENTER,BASILE,LA,70515,DIGSA,700,802,01/21/2025
SOUTH TEXAS ICE PROCESSING CENTER,PEARSALL,TX,78061,CDF,"1,350","1,683",01/21/2025
ST. CLAIR COUNTY JAIL,PORT HURON,MI,48060,IGSA,,73,01/21/2025
STEWART DETENTION CENTER,LUMPKIN,GA,31815,DIGSA,"1,600","1,516",01/21/2025
STRAFFORD COUNTY CORRECTIONS,DOVER,NH,3820,IGSA,,81,01/21/2025
T DON HUTTO DETENTION CENTER,TAYLOR,TX,76574,DIGSA,461,428,01/21/2025
"TORRANCE/ESTANCIA, NM",ESTANCIA,NM,87016,IGSA,505,375,01/21/2025
TULSA COUNTY JAIL (DAVID L. MOSS JUSTICE CTR),TULSA,OK,74103,IGSA,,6,01/21/2025
WASHINGTON COUNTY DETENTION CENTER,FAYETTEVILLE,AR,72701,USMS IGA,,3,01/21/2025
WASHOE COUNTY JAIL,RENO,NV,89506,USMS IGA,,8,01/21/2025
WEBB COUNTY DETENTION CENTER (CCA),LAREDO,TX,78041,DIGSA,250,283,01/21/2025
WINN CORRECTIONAL CENTER,WINNFIELD,LA,71483,DIGSA,946,"1,479",01/21/2025
WYATT DETENTION CENTER,CENTRAL FALLS,RI,2863,USMS IGA,,111,01/21/2025
